标志,ID,人物,内容,跳转
#,0,我,这是一场艰苦的战斗，但我们最终击败了他。,
#,1,我,村长蜷缩在地上，因为伤口而面容扭曲。,
#,2,扎西,我会亲自把你送进警局。,
#,3,我,村长笑了，仿佛扎西一脸严肃地说出的是什么笑话一般。,
#,4,村长,哈哈哈哈哈哈哈哈哈！,
#,5,村长,你记不记得你让我帮忙确认抓到的人是不是都好好呆着的那次？,
#,6,村长,我告诉你，当然。,
#,7,村长,其实恰恰相反！他们早就出来了！,
#,8,村长,所有人都是一伙的，扎西。,
#,9,我,村长用一种奇怪的目光看着我们两人。,
#,10,村长,就算今天你们成功了，很快我就会出来的。,
#,11,村长,你们所做的这一切没有任何意义。,
#,12,村长,但你们到时候，可就惨了。,
#,13,我,他的话让我心情复杂，一时间想不到该怎么反应。,
#,14,我,没错，接下来呢？,
#,15,我,到底有多少人已经成为了利益的朋友，而非自然的朋友？,
#,16,我,绝望的沉默在空气里弥散开。,
#,17,？,无论多少次，你都会受到惩罚！,
#,18,我,熟悉的声音让我转过头，是卓玛，她身后跟着多吉。,
#,19,我,我想我知道刚才那些突如其来的烟花炮仗是怎么回事了。,
#,20,我,但更重要的，她的话给了我一种力量。,
#,21,我,是的，无论多少次。,
#,22,我,我就是带着这样鲁莽纯粹的心态留下的，就是这样坚持的。,
#,23,我,说我自欺欺人也好，说我阿Q精神也罢，我会以我的方式努力下去。,
#,24,村长,哈哈哈哈哈哈。,
#,25,我,村长又笑起来，挑衅般地站起了身。,
#,26,村长,那请吧。,
#,27,我,在电光火石之间，在所有人都没反应过来的时候，站在卓玛旁边的多吉突然猛冲了出来。,
#,28,多吉顶人,,
#,29,我,它一把顶向了还在大笑的村长。,
#,30,我,我们刚好站在悬崖边上，这一下，直接把他顶了下去，我们急忙去看，却早已没有了他的踪迹。,
#,31,我,我又看向了多吉，它正气定神闲地站着，完全没有肇事的意识。,
#,32,我,而扎西和卓玛显然心有余悸，马上离开了悬崖边，可能是怕成为多吉的下一个目标。,
#,33,我,我觉得莫名轻松起来，反正也不会有藏羚羊法庭去审判它，不是吗？,
END,34,,,
