标志,ID,人物,内容,跳转,效果,目标
#,0,我,今天我和另一位队员一起巡逻。,1,,
#,1,我,他和我年龄相仿，性格开朗，不过有点马大哈。,2,,
#,2,巡护队员,嘿，听前几次和你一起巡逻的队员说，小动物都很听你的话。,3,,
#,3,巡护队员,你是怎么做到的？,4,,
#,4,我,他的话让我很意外，我居然已经声名远扬了吗？,5,,
#,5,我,这让我有点得意起来，不过我显然不能告诉他我能和动物说话，否则怕是要被大家马上送到医院去。,6,,
#,6,我,是羁绊。,7,,
#,7,我,我故作高深地回答。,8,,
#,8,我,当你和动物真情实感地相处久了，你们之间就会产生一种自然的链接，让你们在不知不觉间心灵相通。,9,,
#,9,巡护队员,哇！！！,10,,
#,10,我,他的眼睛简直都在发光。,11,,
#,11,巡护队员,那你能展示一下吗？,12,,
@,12,我,没问题！,14,,
@,13,我,今天不行。,30,,
#,14,我,这对我来说简直小菜一碟。我看向不远处正趴在地上休息的汪汪，马上决定选它当做我的目标。,15,,
#,15,我,嘬嘬嘬，汪汪，过来。,16,,
#,16,我,汪汪抬头看我，但是似乎并不想过来。,17,,
#,17,我,汪汪，过来，这边这边。,18,,
#,18,我,我有点挫败，硬着头皮继续喊道。,19,,
#,19,我,好在汪汪终于给了我面子，站起身，抖了抖毛，慢慢朝我走来。,20,,
#,20,我,好狗！,21,,
#,21,我,坐，汪汪，坐。,22,,
#,22,我,我尝试继续让它表演才艺。,23,,
#,23,我,但是接下来无论我怎么说，它都不再有反应了。,24,,
#,24,我,它在原地站了一会儿，然后突然开始追着自己的尾巴咬。,25,,
#,25,我,我的脸有点隐隐作痛。,26,,
#,26,巡护队员,哈哈，可能它没听见你说话吧。,27,,
#,27,我,一直默默站在一旁围观的队员善良地给了我一个台阶。,28,,
#,28,我,有可能。,29,,
#,29,我,我尴尬地摸了摸鼻子，顺着接到。,35,,
#,30,我,我有一种预感，汪汪今天不在状态。,31,,
#,31,我,队员看起来有些失望，不过也接受了我的话。,32,,
#,32,巡护队员,下次有机会一定要让我见识一下！,33,,
#,33,我,我拍拍胸脯，向他保证。,34,,
#,34,我,不知道为什么有种逃过一劫的轻松感。,35,,
#,35,我,玩笑聊完，我们又继续工作。,36,,
#,36,我,在先前的战斗中，我积累了不少经验。,37,,
#,37,我,（点击右上角的按钮，尝试更换技能吧~）,38,,
END,38,,,,,
