标志,ID,人物,内容,跳转,效果,目标
*,0,black,,,,
#,1,我,这天回到家，我打开相机，把这段时间拍摄的相片都导了出来，一张张地仔细比对。,,,
#,2,我,这个工作量显然不小，我甚至没顾得上吃饭，也没去关注我的博客，看得眼睛都快花了。,,,
#,3,我,我几乎快脸盲了。有些人乍一看似乎相似，让我猛地一惊，比对后又发现不过是神似。,,,
#,4,我,这样的虚惊一场发生了好几次，让我不禁怀疑这种方法的可靠度。,,,
#,5,我,也许从一开始就是错的。,,,
#,6,我,我心不在焉地继续翻看，忽然有一张脸吸引了我的目光，正是我最开始引起我怀疑的那个人。,,,
#,7,我,照片暴露出他一些更细节的特征，我注意到他的嘴角边有一颗痣。,,,
#,8,我,我莫名开始紧张，目不转睛地翻找着。,,,
#,9,我,事实给了我沉重的一击。我在另一张不同日期的照片里找到了他。,,,
#,10,我,相同的长相，相同的痣。,,,
#,11,我,我不知道这意味着什么，这是个玩笑吗？,,,
#,12,我,还是我误入了楚门的世界，所有人都在陪我过家家而已？,,,
#,13,我,我盯着屏幕发呆，也不知道过了多久。,,,
@,14,我,出去走走,,,
#,15,我,我选择出去走走。,,,
#,16,我,我清楚自己的内心在期待什么。我希望能再遇到一点奇妙的魔法和幻想，告诉我如何去面对这一切。,,,
#,17,我,就像一开始和多吉的神秘对话。,,,
#,18,我,但外面静悄悄的，什么都没有。,,,
#,19,我,只有寂寥的月光铺洒在土地上，不一会儿又被云层遮盖，只留下黑暗。,,,
#,20,我,现在的天气相比我刚刚来到这里时要冷了许多，即使穿着厚实的衣物依然让我发抖。,,,
#,21,我,但我怎么都不想回去，于是漫无目的地在村庄里闲逛。,,,
END,22,,,,,
