标志,ID,人物,内容,跳转,效果,目标
#,0,我,你在这里做什么？,,,
#,1,我,不论如何，夜已经深了，看见她一个人在这儿不免让我有些担心。,,,
#,2,卓玛,！！！,,,
#,3,我,卓玛被我吓了一跳。,,,
#,4,我,她的神色并不寻常，像在为什么而烦恼。,,,
#,5,我,但此时此刻我已经没有精力去探究这背后的意味，只是轻轻地拍了一下她的头。,,,
#,6,我,走吧。,,,
#,7,我,忽然，她猛扑上来抱住了我。,,,
#,8,我,在我的大脑反应过来怎么回事之前，我的胸口先感受到了一股微微的震动。,,,
#,9,我,卓玛正在我的怀里抽泣。,,,
#,10,我,我抚摸着她的背，然后拉着她坐了下来。,,,
!,11,night-sky,,,,
#,12,我,她告诉我她每天都很担心，为扎西，为我，为汪汪，为所有人，所有生物。,,,
#,13,卓玛,你们回来晚的时候，我总会想到一些很恐怖的事情。,,,
#,14,卓玛,但我又没办法阻止你们，你们在做很厉害的事情。,,,
#,15,我,她絮絮叨叨地说着，不时抹一把脸。,,,
#,16,卓玛,阿爸阿妈知道了又会反过来担心我，这样就不太好了，不是吗。,,,
#,17,卓玛,所以我只好偷偷地为你们祈福，希望一切都顺利。,,,
#,18,我,我不知道她小小的脑袋里竟有那么深刻的焦虑。,,,
@,19,我,抱抱她,22,,
@,20,我,安慰她,23,,
@,21,我,沉默,28,,
#,22,我,我轻轻地把她搂了过来，希望能给她一些慰藉。,29,,
#,23,我,没关系的，我们会做出这样的选择，当然就不会害怕。,,,
#,24,我,谢谢你，能一直顺利到今天，看来少不了你的努力。,,,
#,25,我,希望卓玛同志再接再厉！,,,
#,26,我,我故作严肃地说到。,,,
#,27,我,她被我逗笑了，一下子放松了许多。,29,,
#,28,我,我也不知道该说点什么，我想她需要的不会是苍白肤浅的安慰，于是只是用指腹轻柔地擦掉她脸上的泪珠。,29,,
#,29,我,我们两个人都不再说话了，一起望向远方的夜空。,,,
#,30,我,我想到今天发生的一切。,,,
#,31,我,也许我可能被几个人辜负，但总不至于被所有人辜负。,,,
#,32,我,况且还有这么久以来一直陪伴在我身边的小动物们。,,,
#,33,卓玛,那就是我们一起去过的湖，你还记得吗？,,,
#,34,我,卓玛突然指向了远处，问我到。,,,
!,35,night-lake,,,,
#,36,我,我顺着她的手指看过去，确实有一片湖。,,,
#,37,我,我当然记得它，当时可没少拍，立刻点了点头。,,,
#,38,我,原来从这边可以看见它。,,,
#,39,我,我感叹道。,,,
#,40,卓玛,这也是我的独家发现！,,,
#,41,卓玛,卓玛得意道，看起来已经没有刚刚那么伤心。,,,
#,42,卓玛,就是发现那片湖的那天，阿爸从同村的人那里抱来了汪汪。,,,
#,43,我,托我的福，汪汪现在有大名了——汪汪。,,,
#,44,卓玛,于是我觉得肯定是那片湖给我的好运气，它也成了我最喜欢的地方。,,,
#,45,卓玛,每当我感觉心烦气躁的时候，我就会来这里凝视着它。,,,
#,46,卓玛,我不知道你会在这里留多久，但如果你有需要，也可以试试看。,,,
#,47,我,她真诚地注视着我的眼睛。,,,
#,48,我,在这样一种天真坦率的目光下，我的内心简直无处遁形。她真的是一个很敏锐的人。,,,
@,49,我,我会的。,59,,
@,50,我,现在就试试,51,,
#,51,我,我全神贯注地盯着那片水体，用力到五官都皱了起来。,,,
#,52,我,云层不知道什么时候已经散去了，皎洁的月光让那片湖闪闪发光，倒真有了几分“月光浸水水浸天，一派空明互回荡”的趣味。,,,
#,53,我,而且那么大一片湖，考虑到比热容，现在说不定比我们坐的这边要暖和上一些......,,,
#,54,我,我逐渐被自己乱七八糟的思绪带远，大脑也逐渐放空。,,,
#,55,我,直到卓玛打了个哈欠，靠在了我的肩膀上，我才如梦初醒。,,,
#,56,卓玛,怎么样，很有用吧？,,,
#,57,我,没错，谢谢你。,,,
#,58,我,她回我以一个浅浅的微笑。,,,
#,59,我,现在已经太晚了，我拉着卓玛，两个人慢慢朝她家里走去。,,,
#,60,我,安置好一切，我躺在床上，意外地什么都没想，就这样睡了过去。,,,
#,61,我,一夜无梦。,,,
END,62,,,,,
