标志,ID,人物,内容,跳转
#,0,我,今天的敌人异常的少。,
#,1,我,最近其实都这样，我之前以为是胜利的曙光，现在看来或许他们只是转移了目的地。,
#,2,扎西,今天的时间也不早了，我们回去吧。,
#,3,我,走吧。,
#,4,我,我们收拾完了东西，便上了车。,
#,5,car-view,,
#,6,我,车上微微有些颠簸，累了一天，我几乎快睡着了。,
#,7,村长,停一下，我想上个厕所。,
#,8,我,突然的交流让我猛地惊醒。,
#,9,我,想到回去还有许多事情要做，我决定下车走走清醒一下。,
#,10,view,,
#,11,我,我站在草地上，微风轻抚过我的面颊。我突然发现从这个位置，也能看见卓玛最爱的那片湖。,
#,12,我,而且这个角度看看来的形状还有点像汪汪。,
#,13,我,我记下这个发现，正打算回去的时候，突然被人从背后架住了脖子。,
#,14,我,我完全喘不过气来，也喊不出声。,
#,15,我,绝望席卷了我。是谁？刚才跑走的盗猎者吗？,
#,16,我,我不断地挣扎，尝试踹或是用手击打，但都使不上力气。,
#,17,我,忽然，可能被我推搡着是踩到了什么，身后的人一时没有站稳，连带着我一起向后倒去。,
#,18,我,这一摔让他的手松开了。我马上朝车子的位置跑去，又被他紧紧拽着。,
#,19,我,我回头看他，竟然是村长。,
#,20,我,我不理解他为什么要做出这样的事情。,
#,21,我,我想把被他抓着的衣服脱下来，但他已经借力站了起来。,
#,22,我,千钧一发之际，扎西的声音从前方传来。,
#,23,我,怎么了？,
#,24,村长,我不小心摔倒了。,
#,25,我,我还没来得及开口，村长就先回答道。,
#,26,我,不！,
#,27,我,他想杀了我！,
#,28,我,我脱口而出。,
#,29,我,闻言，扎西愣住了。,
#,30,我,他的目光在我们两人之间打转，而后停留在了我的脖子上——我想此刻应该有明显的印记。,
#,31,扎西,我们先回去再说。,
#,32,我,听到他的话，我却后怕起来，他们会不会是一伙的？但我不知道我能往哪儿跑。,
#,33,我,我们僵持了一会儿，我想说点什么，意外地望到扎西的背后有人。,
#,34,我,他们带着枪。恐惧让我的大脑一片空白。,
#,35,我,扎西见我的神情不对，向后看去，也被吓到了。,
#,36,我,至少扎西和那些人看起来不是一起的，但这个发现并没有让局势变好。,
#,37,村长,今天就是你的死期。,
#,38,我,村长恶狠狠的声音从我的背后传来，让我毛骨悚然。,
#,39,村长,而我的朋友，随时欢迎你加入我们。,
#,40,我,这句话显然是对扎西说的。我的大脑飞速运转，很快反应过来究竟是什么情况。,
#,41,我,原来一直以来的阻力是村长！面前的那些人，甚至盗猎者，可能都是他的同谋。,
#,42,扎西,为什么要这么做？,
#,43,我,扎西也反应过来了，他的眉头紧锁。,
#,44,村长,为了利益，为了一切能变得更好！,
#,45,村长,近几年的经济状况并不好，但村里大家却能继续过着往常的生活，甚至又添置了许多基础设施。,
#,46,村长,你不觉得应该感谢我吗？,
#,47,扎西,我宁可不要这些东西！,
#,48,我,扎西看起来极度愤怒，大喊道。,
#,49,村长,那卓玛呢？你可以给她一个更好、更轻松的未来。,
#,50,村长,你会需要的。,
#,51,村长,不需要你做什么事情，只要平常睁一只眼闭一只眼就够了……,
#,52,扎西,我会努力，但不是通过这种方式。,
#,53,我,扎西打断了他的话。,
#,54,村长,那就没什么好说的了。,
#,55,我,村长的脸色变得凝重，后面的人一直举着枪，我的心快跳到了嗓子眼。,
#,56,？,“咻——”,
#,57,我,一阵怪响传来，所有人的注意力瞬间都被夺去。,
#,58,我,是几个炮仗和烟花。,
#,59,我,我和扎西趁乱跑开，现在我们有了反击的机会。,
,60,,,
