标志,ID,人物,内容,跳转,效果,目标
#,0,我,我是一名自由摄影师。,1,,
#,1,我,出于对风景、自然风光、野生动物的喜爱，一路旅拍来到了西部。,2,,
#,2,我,今天也是一样。,3,,
#,3,我,前面好像有一只藏羚羊！,4,,
#,4,我,我马上屏住呼吸，举起手中的照相机，想要记录下这一刻。,5,,
#,5,我,但还没等我对上焦，它就像意识到了什么，转身跑走了。,6,,
#,6,我,我感到有些懊恼。打算再附近再走走看，也许还能遇到它的同伴。,7,,
#,7,？,嘿！,8,,
#,8,我,我听到一个稚嫩的声音，转头看去。,9,,
#,9,我,是一个穿着当地服饰的小女孩，她好奇地看着我。,10,,
#,10,？,你在这里做什么？,11,,
@,11,我,我来拍照。,13,,
@,12,我,我迷路了。,14,,
#,13,我,我指了指我背着的相机，给她展示了我拍的照片。她发出了赞叹声，让我很受用。,16,,
#,14,我,她看起来很吃惊，还有点被吓到了，语无伦次地告诉我附近有个村庄，她可以带我去寻找帮助。,15,,
#,15,我,看到一个小朋友真心地为我着急的样子让我有些不好意思，马上告诉她只是个玩笑罢了，我只是过来拍照。,16,,
#,16,我,想要我帮你拍几张吗？,17,,
#,17,我,说着，我晃了晃手里的相机。,18,,
#,18,？,好呀！,19,,
#,19,我,她看起来很高兴，于是我们一起结伴逛了一会儿。,20,,
#,20,我,她告诉我她的名字是卓玛，住在附近的一个小村庄里，父亲是巡护队的队长，今天出来是想找一只名叫多吉的藏羚羊。,21,,
#,21,我,我严肃地教育了她不能一个人乱跑，也不要轻信陌生人。她朝我比了个鬼脸就跑开了。,22,,
#,22,我,就这样，我多了一位年幼的好朋友。她带着我来到他们的村庄，她父母都是很和蔼热情的人，主动邀请我借宿在他们家。,23,,
#,23,我,接下来几乎每天我和卓玛都会一起出去玩，我们度过了很愉快的一段时光。她还带我去了她的秘密基地——一片很大，很纯净，近乎透明的湖泊，被远方的雪山拥抱着，像一块晶莹剔透的宝石。,24,,
#,24,我,当然，我们还遇到了很多野生动物，有藏羚羊、棕熊、鼠兔、狼等等，我激动得相机都快拿不稳了。,25,,
#,25,我,我也见到了那天卓玛寻找的名叫多吉的藏羚羊。听她说，它已经活了很久很久了，是这一片的守护神。,26,,
#,26,我,它看起来确实很不一样，毛发光滑，眼神坚毅，非常漂亮，我一连拍了好几张。,27,,
#,27,卓玛,你有没有听到什么声音？,28,,
#,28,我,在我沉迷拍照的时候，卓玛拉拉我的衣角，有点紧张地说道。,29,,
#,29,我,我屏气凝神，确实，从远处传来汽车的轰鸣声。,30,,
@,30,我,可能是和我一样来探索风景的人吧。,34,,
@,31,我,肯定是坏人！,37,,
@,32,我,我没听见。,41,,
#,33,我,听见我这么说，卓玛看起来放心了一点，但她还是有些不安。,34,,
#,34,卓玛,我总感觉不对。,35,,
#,35,我,我摸了摸她的头。,36,,
#,36,我,没事，那我们过去远远地看一眼吧。,45,,
#,37,卓玛,啊！！！？,38,,
#,38,我,卓玛看起来被吓到了。,39,,
#,39,卓玛,那我们必须得赶紧过去才行。,40,,
#,40,我,接下来无论我怎么解释我刚才只是在开玩笑，她都一定要拖着我去看看。,45,,
#,41,卓玛,是吗？,42,,
#,42,我,她疑惑地看着我，又噤声听了一会儿。,43,,
#,43,卓玛,也许你应该去看看耳朵。,44,,
#,44,我,她一边真诚地告诉我讳疾忌医的坏处，一边拖着我往声音传来的地方走去。,45,,
#,45,我,当我们走到一半的时候，突然传来了巨大的枪声，以及动物的哀鸣声。,46,,
#,46,我,我和卓玛都被这突如其来的变故吓到了。,47,,
#,47,我,短暂的空白之后，我很快反应过来怎么回事。,48,,
#,48,我,快跑！我们马上离开这里。,49,,
#,49,我,一般来说，卓玛是一个聪明又听话的女孩。但这次她怎么都不愿意离开。,50,,
#,50,卓玛,发生了什么？为什么有动物在惨叫？,51,,
#,51,我,我不知道该怎么回答她。,52,,
#,52,我,快走吧，这里有危险，等回去我再和你解释。,53,,
#,53,卓玛,不，如果有危险我们就跑走了，动物们怎么办？,54,,
#,54,我,我一时语塞。这时，又响起了发动机轰轰的声音，我们望去，有许多藏羚羊跑了出来，它们中的一些明显受了伤，一瘸一拐。后面跟着一辆越野车，车窗里还有几个人探出头来。,55,,
#,55,我,我急中生智，抓起相机猛拍了几张。,56,,
#,56,我,现在我们有证据了。快回去告诉村庄里的人，他们越快得知，就能越快介入来保护动物。,57,,
