标志,ID,人物,内容,跳转,效果,目标
#,0,五月,现在让我们进入战斗环节吧。,1,,
#,1,五月,你知道怎样作战吗？,2,,
@,2,辛拉面,我了解过。,4,,
@,3,辛拉面,你可以告诉我吗？,5,,
#,4,五月,真不错，那我们开始吧！,16,,
#,5,五月,明白了。敌人的进攻会分为很多个回合，在他们进攻的回合间隙，我们有机会放置、强化一些装置。,6,,
#,6,五月,后勤处是必不可少的，每当敌人的进攻结束，它都会为我们提供装置所需要的材料。,7,,
#,7,五月,信号发射器可以为我们召集战友，当感觉寡不敌众的时候，试试看放几个信号发射器。,8,,
#,8,五月,治疗站可以回复一定范围内所有友方的血量，不过它有一个治疗上限。可以通过后续的强化来提高它。,9,,
#,9,五月,防护网可以阻拦敌人的路线，不同的防护网还有不同的效果。,10,,
#,10,五月,敌人会破坏装置，不过装置周围有友方的话，装置会得到及时的维修。,11,,
#,11,五月,在战斗中，使用WASD进行移动，单击鼠标左键进行攻击，按住鼠标右键加速跑，按Q释放技能。,12,,
#,12,五月,小心为上，保护好动物们，也务必注意自身的安全。,13,,
#,13,五月,你现在理解怎样作战了吗？需要我为你再解释一遍吗？,14,,
@,14,辛拉面,是的，我还有不明白的地方。,5,,
@,15,辛拉面,不，我已经理解了。,4,,
END,16,,,,,
